Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
71,108,Lu,5.3917,307,0.0,0.0,7/2+, ,4.59,6,H,16524.0,216.0,B-,100.0,0.0, , , , , , , ,2.375, ,3.32, ,1403.989,5067,-4695.00,5,826.72,50,-2521.918,196,6792.45,5,6652.41,11,8035.073,29,178947333.082,5528,-49058.918,5150,
71,109,Lu,,,0.0,0.0,5+, ,5.7,1,M,342.0,6.0,B-,100.0,0.0, , , , , , , , , , , ,3103,70711,-4284.76,71,270.05,122,-2076.348,306,5688.75,71,7428,208,8022.038,393,179949890.876,75926,-46676.348,70725,
71,110,Lu,,,0.0,0.0,(7/2+), ,3.5,3,M,210.0,18.0,B-,100.0,0.0, , , , , , , , , , , ,2605.421,125760,-3089.38,126,247,324,-3709.41,323,6192.38,144,7486,324,8011.929,695,180951908,135000,-44797.410,125752,
71,111,Lu,,,0.0,0.0, , ,2.0,2,M,120.0,12.0,B-,100.0,0.0, , , , , , , , , , , ,4170,196,-2548,196,-189,446,-3060.0,446,5154,233,8081,357,7996,1,181955040,210,-41880,196,
71,112,Lu,,,0.0,0.0,(7/2+), ,58,4,S,58.0,4.0,B-,100.0,0.0, , , , , , , , , , , ,3566.687,85553,-1737.92,80,-541,509,-4616.11,409,5907,211,8185,408,7984.812,438,182957363,86000,-39716.110,80108,
71,113,Lu,,,0.0,0.0,(3+), ,19,2,S,19.0,2.0,B-,100.0,0.0, , , , , , , , , , , ,5087,301,-1201,300,-917,585,-3872.0,585,4767,309,8601,499,7967,2,183960910,320,-36412,298,
71,114,Lu,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,4432,305,-460,301,-1142,667,-5388.0,585,5547,422,8637,585,7954,2,184963620,320,-33888,298,
71,115,Lu,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,6214,404,38,406,,,,,4394,499,8999,643,7935,2,185967568,430,-30210,401,
71,116,Lu,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , , , , ,5237,499,773,404,,,,,5441,566,,,7922,2,186970392,430,-27580,401,
71,117,Lu,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , , , , ,7089,585,955,585,,,,,4282,643,,,7902,3,187974460,540,-23790,503,
